scene,status,ssim,chains,particles,animated,render_ms
3444535389,ok,0.5022,1,0,True,1.7
3455074362,ok,0.6826,4,5,True,8.2
3464333905,ok,0.9195,1,0,True,4.1
3464882367,ok,0.5589,3,0,True,6.9
3469390911,ok,0.6497,4,7,True,4.7
3470137020,ok,0.6125,0,0,False,1.5
3488464367,ok,0.6864,1,3,True,4.6
3494729179,ok,0.7691,3,0,True,3.1
3494800319,ok,0.6481,12,8,True,6.2
3510193651,ok,0.7327,1,3,True,4.8
3512472776,ok,0.788,1,0,True,3.1
3513662969,exit1,,,,,
3517483224,ok,0.5777,11,7,True,4.6
3523445730,ok,0.7005,1,0,True,5.1
3525676336,ok,0.6482,1,0,True,5.1
3527889800,ok,0.6528,7,0,True,8.2
3527951658,ok,0.6561,0,1,True,5.1
3531624187,ok,0.7106,1,1,True,5.0
3532291433,ok,0.6772,0,1,True,5.0
3532389976,ok,0.7915,0,1,True,5.9
3534407969,ok,0.7631,0,3,True,4.9
3537909785,ok,0.7058,0,1,True,5.4
3538714036,ok,0.8673,0,1,True,5.1
3538740176,ok,0.6271,0,1,True,4.6
3540227590,ok,0.6566,0,1,True,4.6
3542516977,ok,0.7421,0,1,True,5.0
3546360498,ok,0.7353,0,0,False,1.4
3555312540,ok,0.6246,1,0,True,2.8
3567106980,ok,0.7043,1,5,True,7.0
3567762311,ok,0.6872,0,1,True,4.2
3573288203,ok,0.9558,1,5,True,4.4
3581904481,ok,0.7283,1,0,True,4.4
3585741639,ok,0.6476,1,6,True,9.0
3586308277,ok,0.595,1,3,True,4.6
3589819394,ok,0.8684,3,2,True,16.5
3594405159,ok,0.7428,0,11,True,4.5
3597803619,ok,0.8004,1,2,True,4.6
3600489964,ok,0.7716,1,2,True,3.0
3601696953,ok,0.7031,7,3,True,4.7
3603812691,ok,0.6518,8,4,True,4.5
3604638636,ok,0.7667,8,1,True,2.2
3606529469,ok,0.676,1,1,True,3.7
3607262313,ok,0.6576,1,3,True,4.3
3613098948,ok,0.6,0,1,True,4.2
3615422292,ok,0.6349,6,5,True,4.8
3616455565,ok,0.6472,1,0,True,11.8
3616541797,ok,0.6384,1,2,True,5.4
3619211236,ok,0.8015,0,6,True,4.4
3619373520,ok,0.8409,3,1,True,4.8
3619686402,ok,0.716,2,11,True,5.0
3621936317,ok,0.7885,6,4,True,2.6
3624257712,ok,0.5015,4,5,True,1.9
3626305963,ok,0.6196,4,6,True,6.3
3627327015,ok,0.7633,3,17,True,5.1
3627973226,ok,0.5755,8,10,True,4.8
3629379075,ok,0.5,12,8,True,1.7
3638375196,ok,0.7485,2,0,True,2.5
3643143272,ok,0.7272,1,1,True,4.9
3644280276,ok,0.9325,7,10,True,4.1
3656811810,ok,0.7211,1,4,True,4.2
3660868109,ok,0.8945,3,4,True,5.3
3662133837,ok,0.8213,3,4,True,4.7
3669680904,ok,0.7029,5,11,True,4.3
3670813883,ok,0.6678,4,19,True,5.0
3675966045,ok,0.5258,7,9,True,1.5
3754071152,ok,0.5985,1,0,True,6.3
3775394622,ok,0.9064,2,8,True,5.4
931333736,ok,0.6356,1,1,True,5.0
937131572,ok,0.8143,0,1,True,4.1
956429110,ok,0.7655,1,0,True,2.3
960368411,ok,0.8101,1,2,True,2.7
970468457,ok,0.6142,1,2,True,5.3
